-15,287,North Alabama,ASun,1-1,-7.9
2,288,Grambling St.,SWAC,0-1,-8.0
2,289,North Florida,ASun,1-1,-8.2
2,290,Army,Pat,0-3,-8.2
20,291,Prairie View A&M,SWAC,1-2,-8.4
3,292,Denver,Sum,1-1,-8.4
4,293,Miami OH,MAC,0-2,-8.5
4,294,Lafayette,Pat,0-3,-8.5
4,295,Southern,SWAC,1-2,-8.6
-2,296,Jackson St.,SWAC,0-4,-8.6
-30,297,UMKC,Sum,0-1,-8.6
2,298,Manhattan,MAAC,1-1,-8.7
2,299,North Carolina Central,MEAC,0-2,-8.7
-12,300,Eastern Michigan,MAC,1-2,-8.7
12,301,Western Michigan,MAC,0-3,-8.7
-6,302,UTSA,Amer,1-2,-8.7
-1,303,The Citadel,SC,0-3,-8.7
-1,304,Fairleigh Dickinson,NEC,1-1,-8.8
4,305,Cal St. Northridge,BW,2-1,-8.8
-2,306,USC Upstate,BSth,0-2,-8.9
-2,307,Southeast Missouri St.,OVC,0-2,-9.0
-2,308,Dartmouth,Ivy,0-2,-9.0
-2,309,Le Moyne,NEC,0-2,-9.0
-2,310,Louisiana Monroe,SB,1-1,-9.0
-1,311,North Dakota,Sum,1-1,-9.2
0,312,Southern Indiana,OVC,0-3,-9.2
1,313,Texas A&M Corpus Chris,Slnd,0-1,-9.3
-25,314,Holy Cross,Pat,1-1,-9.5
0,315,Nebraska Omaha,Sum,0-2,-9.5
0,316,Austin Peay,ASun,0-1,-9.5
0,317,Albany,AE,1-1,-9.6
1,318,Elon,CAA,1-2,-9.8
1,319,Evansville,MVC,1-0,-9.8
-2,320,Bucknell,Pat,1-3,-9.9
0,321,Columbia,Ivy,0-2,-9.9
1,322,Alcorn St.,SWAC,0-2,-10.1
-1,323,Maine,AE,0-2,-10.1
0,324,Siena,MAAC,0-2,-10.1
3,325,UT Rio Grande Valley,WAC,0-2,-10.2
0,326,Central Connecticut,NEC,0-2,-10.4
-2,327,Lamar,Slnd,1-1,-10.4
-1,328,Texas A&M Commerce,Slnd,0-4,-10.4
0,329,VMI,SC,0-2,-11.0
0,330,Idaho St.,BSky,0-2,-11.3
7,331,Valparaiso,MVC,1-1,-11.5
0,332,Western Illinois,OVC,0-2,-11.5
0,333,Northern Arizona,BSky,0-2,-11.7
0,334,Charleston Southern,BSth,0-1,-11.8
0,335,Alabama St.,SWAC,0-2,-11.8
1,336,Central Michigan,MAC,0-3,-12.0
-6,337,Stonehill,NEC,1-3,-12.2
1,338,Central Arkansas,ASun,0-2,-12.7
1,339,Bethune Cookman,SWAC,0-1,-12.8
6,340,Florida A&M,SWAC,0-3,-13.0
1,341,Eastern Illinois,OVC,0-2,-13.2
-1,342,Chicago St.,ind,1-3,-13.3
0,343,Saint Francis,NEC,0-4,-13.4
0,344,Cal Poly,BW,0-2,-13.6
0,345,Maryland Eastern Shore,MEAC,0-1,-13.7
1,346,NJIT,AE,0-2,-13.7
1,347,Northwestern St.,Slnd,0-2,-13.9
1,348,Alabama A&M,SWAC,0-1,-13.9
1,349,LIU,NEC,0-2,-13.9
1,350,Arkansas Pine Bluff,SWAC,1-1,-13.9
4,351,North Carolina A&T,CAA,0-3,-13.9
0,352,Idaho,BSky,0-2,-14.0
0,353,Incarnate Word,Slnd,0-2,-14.1
0,354,Morgan St.,MEAC,0-1,-14.3
1,355,South Carolina St.,MEAC,1-1,-14.8
-20,356,IUPUI,Horz,1-1,-15.1
0,357,Coppin St.,MEAC,0-3,-15.3
0,358,Lindenwood,OVC,0-2,-15.4
1,359,Green Bay,Horz,0-2,-15.4
-1,360,Delaware St.,MEAC,0-2,-16.0
0,361,Houston Christian,Slnd,0-1,-17.7
0,362,Mississippi Valley St.,SWAC,0-3,-18.6
