,Rank,Team,Conf,Record,Rating
---,340,Morgan St.,MEAC,0-6,-13.3
---,341,Florida A&M,SWAC,0-4,-13.3
---,342,Cal Poly,BW,1-4,-13.4
---,343,Eastern Illinois,OVC,1-4,-13.4
---,344,Chicago St.,ind,2-6,-13.9
---,345,Delaware St.,MEAC,2-6,-14.0
---,346,Stonehill,NEC,1-6,-14.1
---,347,Siena,MAAC,0-5,-14.2
---,348,Lindenwood,OVC,2-4,-14.3
---,349,Maryland Eastern Shore,MEAC,1-4,-14.3
---,350,Northwestern St.,Slnd,0-5,-14.4
---,351,NJIT,AE,1-4,-14.5
---,352,Bethune Cookman,SWAC,1-4,-14.6
---,353,Saint Francis,NEC,0-5,-14.7
---,354,Idaho,BSky,1-3,-15.1
---,355,South Carolina St.,MEAC,1-5,-15.3
---,356,Alabama A&M,SWAC,0-5,-15.7
---,357,Arkansas Pine Bluff,SWAC,1-4,-15.9
---,358,North Carolina A&T,CAA,0-6,-16.5
---,359,IUPUI,Horz,1-4,-16.5
---,360,Houston Christian,Slnd,0-5,-16.7
---,361,Coppin St.,MEAC,0-7,-16.9
---,362,Mississippi Valley St.,SWAC,0-7,-20.5
